af_caves_load,14,17.5,^2MacTavish: ^7We've got one good UMP.  They've got a thousand.  ,
af_caves_load,18,21,^2MacTavish: ^7We don't even know if Makarov's intel's any good.  ,
af_caves_load,21.3,22.3,^2MacTavish: ^7Price. ,
af_caves_load,23.3,24.3,^2MacTavish: ^7...Price?,
af_caves_load,25,30.2,^2Price: ^7The healthy human mind doesn't wake up in the morning thinking this is its last day on Earth.   ,
af_caves_load,30.5,33.5,^2Price: ^7But I think that's a luxury.  Not a curse. ,
af_caves_load,33.5,36.7,^2Price: ^7To know you're close to the end is a kind of freedom. ,
af_caves_load,37.5,40,^2Price: ^7Good time to take... inventory. ,
af_caves_load,41,46,^2Price: ^7Outgunned.  Outnumbered.  Out of our minds. On a suicide mission. ,
af_caves_load,46,50,"^2Price: ^7But the sand and rocks here, stained with thousands of years of warfare...",
af_caves_load,51.2,54,^2Price: ^7They will remember us.  For this.,
af_caves_load,54.5,60,"^2Price: ^7Because out of all our vast array of nightmares, this is the one we choose for ourselves.    ",
af_caves_load,60,63.4,^2Price: ^7We go forward like a breath exhaled from the Earth.  ,
af_caves_load,64,66.7,^2Price: ^7With vigor in our hearts and one goal in sight:,
af_caves_load,67.8,69.5,^2Price: ^7We.  Will. ,
af_caves_load,70,72,^2Price: ^7Kill him.  ,
af_chase_load,16.3,18,^2Price: ^7This is for the record.,
af_chase_load,18.3,21,^2Price: ^7History is written by the victor.,
af_chase_load,22,24,^2Price: ^7History is filled with liars. ,
af_chase_load,25,30,"^2Price: ^7If he lives and we die, his truth becomes written -  ",
af_chase_load,30,32,^2Price: ^7- and ours is lost.,
af_chase_load,32,39,^2Price: ^7Shepherd will be a hero.  'Cause all you need to change the world is one good lie and a river of blood.,
af_chase_load,40,45,^2Price: ^7He's about to complete the greatest trick a liar ever played on history.,
af_chase_load,45.7,48,^2Price: ^7His truth will be the truth.,
af_chase_load,48,52.2,"^2Price: ^7But only if he lives, and we die.",
airport_load,7.5,11,"^2Shepherd: ^7The rest of Task Force 141 brought in the ACS, Allen.  ",
airport_load,12,16,^2Shepherd: ^7Two men took down an entire base.  I ask much more from you now.  ,
airport_load,18,23,^2Shepherd: ^7Yesterday you were a soldier on the front lines.  But today front lines are history.  ,
airport_load,23,29,^2Shepherd: ^7Uniforms are relics.  The war rages everywhere.  And there will be casualties. ,
airport_load,36,41,^2Shepherd: ^7This man Makarov is fighting his own war and he has no rules.  No boundaries.  ,
airport_load,41,44.3,"^2Shepherd: ^7He doesn't flinch at torture, human trafficking, or genocide.",
airport_load,45,52,^2Shepherd: ^7He's not loyal to a flag or a country or any set of ideals.  He trades blood for money.   ,
airport_load,53,55,^2Shepherd: ^7He's your new best friend. ,
airport_load,56,59.3,^2Shepherd: ^7You don't want to know what it's cost already to put you next to him.,
airport_load,60,62.6,^2Shepherd: ^7It will cost you a piece of yourself.,
airport_load,64,67,^2Shepherd: ^7It will cost nothing compared to everything you'll save. ,
arcadia_load,25,27.2,^2Shepherd: ^7Someone turn off that damn TV.,
arcadia_load,29,33,"^2Shepherd: ^7My Task Force is out of the country.  I'm commandeering your unit, Sergeant Foley.",
arcadia_load,34,36,"^2Sgt. Foley: ^7Yes, Sir.  All yours, Sir.",
arcadia_load,37,40,^2Shepherd: ^7I've requisitioned a Stryker from the Eighth Armored.,
arcadia_load,46,48,"^2Sgt. Foley: ^7Honey Badger's a mean bitch, Sir.",
arcadia_load,48,52,^2Shepherd: ^7She'll walk you in.  The Russians are burning through our defenses and our intel.  ,
arcadia_load,52,54,^2Shepherd: ^7Can't let 'em take this corner.,
arcadia_load,54.6,58.3,"^2Sgt. Foley: ^7Just point it out on the map, Sir. They won't take it.  ",
boneyard_load,16.7,20,"^2MacTavish: ^7Roach? Ghost? Come in, Ghost! Do you copy?  Does anyone copy?",
boneyard_load,20,25,"^2Price: ^7They're dead, Soap.  Shepherd's cleaning house.  I'm working my way back to you. ",
boneyard_load,26,28,^2MacTavish: ^7Shepherd betrayed us. ,
boneyard_load,28,31,^2Price: ^7Have to trust someone to be betrayed.  I never did.   ,
boneyard_load,31.3,34,"^2Price: ^7Nikolai, come in.  Do you have our location? ",
