af_caves_load,14,17.5,"^2MacTavish: ^7Máme jednu dobrou UMP.  Oni jich mají tisíce.",
af_caves_load,18,21,"^2MacTavish: ^7Ani nevíme jestli jsou ty informace vůbec k něčemu.",
af_caves_load,21.3,22.3,"^2MacTavish: ^7Pricei.",
af_caves_load,23.3,24.3,"^2MacTavish: ^7..Pricei?",
af_caves_load,25,30.2,"^2Price: ^7Zdravý člověk ráno nevstane s představou, že tohle je poslední den života na Zemi.",
af_caves_load,30.5,33.5,"^2Price: ^7Myslím, že to není prokletí, ale přepych.  ",
af_caves_load,33.5,36.7,"^2Price: ^7Vědět, že už jsi blízko konce je docela osvobuzující. ",
af_caves_load,37.5,40,"^2Price: ^7Skvělý čas na ohlédnutí se zpět.",
af_caves_load,41,46,"^2Price: ^7Přemoženi. V oslabení. Bezhlavě na sebevražedné misi.",
af_caves_load,46,50,"^2Price: ^7Ale ten písek a kameny tady, potřísněné tisíci lety boje...",
af_caves_load,51.2,54,"^2Price: ^7Za tohle si nás budou pamatovat. ",
af_caves_load,54.5,60,"^2Price: ^7Protože ze všech těch největších nočních můr si právě tuhle vybíráme my sami.",
af_caves_load,60,63.4,"^2Price: ^7Míříme neústupně kupředu jako výdech z nitra Země.",
af_caves_load,64,66.7,"^2Price: ^7S vášní v našich srdcích a s cílem na dohled:  ",
af_caves_load,67.8,69.5,"^2Price: ^7Dokážem to.",
af_caves_load,70,72,"^2Price: ^7Zabijem ho.",
af_chase_load,16.3,18,"^2Price: ^7Tohle jen pro pořádek.",
af_chase_load,18.3,21,"^2Price: ^7Dějiny jsou psané vítězi.",
af_chase_load,22,24,"^2Price: ^7A dějiny jsou plné lhářů.",
af_chase_load,25,30,"^2Price: ^7Jestli přežije a my ne, bude zapsána ta jeho pravda -",
af_chase_load,30,32,"^2Price: ^7- a naše ztracena. ",
af_chase_load,32,39,"^2Price: ^7Shepherd bude hrdina. Protože co potřebujete, abyste změnili svět, je jedna dobrá lež a řeka plná krve.",
af_chase_load,40,45,"^2Price: ^7Chystá se dokončit největší trik, jaký kdy lhář hrál v historii.",
af_chase_load,45.7,48,"^2Price: ^7Jeho pravda bude jeho pravdou",
af_chase_load,48,52.2,"^2Price: ^7Ale jen když přežije a my zemřeme",
airport_load,7.5,11,"^2Shepherd: ^7Zbytek Task Force 141 je v ACS, Allene.",
airport_load,12,16,"^2Shepherd: ^7Dva muži srovnali se zemí celou základnu.  Nyní po vás žádám víc. ",
airport_load,18,23,"^2Shepherd: ^7Včera jsi byl vojákem v první linii.  Ale dnes už jsou první linie historií.",
airport_load,23,29,"^2Shepherd: ^7Uniformy relikviemi.  Válka zuří všude.  A budou tu oběti.",
airport_load,36,41,"^2Shepherd: ^7Tenhle Makarov bojuje svou vlastní válku a nemá žádná pravidla.  Žádné zábrany.",
airport_load,41,44.3,"^2Shepherd: ^7Nevadí mu mučení, obchod s bílým masem, ani genocida.",
airport_load,45,52,"^2Shepherd: ^7Není oddaný žádné vlajce či krajině nebo jakýmkoliv ideálům.  Mění krev za peníze.",
airport_load,53,55,"^2Shepherd: ^7Odteď je to tvůj nej přítel",
airport_load,56,59.3,"^2Shepherd: ^7Nechtěj ani vědět kolik už stálo jen tě k němu dostat.",
airport_load,60,62.6,"^2Shepherd: ^7Bude to stát i část tebe samotného.  ",
airport_load,64,67,"^2Shepherd: ^7Ale nebude to nic, v porovnání s tím, co zachráníš.",
arcadia_load,25,27.2,"^2Shepherd: ^7Vypněte někdo tu zatracenou TV",
arcadia_load,29,33,"^2Shepherd: ^7Moje jednotka je mimo naši vlast.  Přebírám velení vaší jednotky, Seržante Foley. ",
arcadia_load,34,36,"^2Sgt. Foley: ^7Ano pane.  Velení je vaše.",
arcadia_load,37,40,"^2Shepherd: ^7Vymohl jsem pro vás Strykera z Osmé obrněné.",
arcadia_load,46,48,"^2Sgt. Foley: ^7Honey Badger je umíněná děvka pane",
arcadia_load,48,52,"^2Shepherd: ^7Zavede vás dovnitř.  Rusové pronikají přes naši obranu do naší zóny.",
arcadia_load,52,54,"^2Shepherd: ^7Nemůžem si dovolit o ni přijít.",
arcadia_load,54.6,58.3,"^2Sgt. Foley: ^7Jen to vyznačte na mapě pane. Nedostanou ji.",
boneyard_load,16.7,20,"^2MacTavish: ^7Roachi? Ghoste? Hlaste se, Ghoste! Jsi tam?  Je tam někdo?",
boneyard_load,20,25,"^2Price: ^7Jsou mrtví Soape.  Shepherd čistí dům.  Jsem na cestě k tobě.",
boneyard_load,26,28,"^2MacTavish: ^7Shepherd nás zradil.  ",
boneyard_load,28,31,"^2Price: ^7Aby tě někdo zradil, musíš mu věřit. Já nikomu nevěřím.",
boneyard_load,31.3,34,"^2Price: ^7Nikolai, ozvi se.  Vidíš naši lokaci?",
boneyard_load,34,38,"^2Nikolai: ^7Da.  Jsem na cestě Pricei.  Nejsem ale sám.",
boneyard_load,38,41,"^2Nikolai: ^7Máte tu Shepherdovy muže na jedné straně, Makarovovy na druhé.  ",
boneyard_load,43,45,"^2Price: ^7Pak je teda budeme muset odklidit všechny.",
boneyard_load,45,47,"^2Nikolai: ^7Necháme je, ať se vyřídí navzájem.",
boneyard_load,47,50,"^2Nikolai: ^7Tak či tak, uvidíme se na druhé straně můj příteli.",
cliffhanger_load,23.3,25,"^2Sv. Allen: ^7Tak jak vypadám?",
cliffhanger_load,25,27,"^2Shepherd: ^7Jako jeden z těch zlých. ",
cliffhanger_load,27,29,"^2Shepherd: ^7Skvělé pro tvoje krytí.",
cliffhanger_load,29,31,"^2Sv. Allen: ^7Hlavní cena je Makarov.  ",
cliffhanger_load,31,36,"^2Shepherd: ^7Makarov není žádná hlavní cena. Je to kurva. Nejhorší zdivočelý vrah.",
cliffhanger_load,37,40,"^2Shepherd: ^7Jen nezapomeň na svou novou identitu. Udrží tě naživu.  ",
cliffhanger_load,41,45.5,"^2Shepherd: ^7Vítej ve 141.  Nejlepší jednotce bojovníků na světě.",
cliffhanger_load,46,49,"^2Sv. Allen: ^7Je to čest pane. Kdy se seznámím se zbytkem týmu?",
cliffhanger_load,49.3,53.5,"^2Shepherd: ^7Zrovna mají za úkol zajistit zřícený ACS modul za nepřátelskou linií.",
cliffhanger_load,54,56,"^2Sv. Allen: ^7Jsou pod vodou? ",
cliffhanger_load,56,59,"^2Shepherd: ^7Spíš teď někde mrznou.",
contingency_load,12,14,"^2Kapitán MacTavish: ^7Přenos téměř hotov.",
contingency_load,16.3,19,"^2Kapitán MacTavish: ^7Generále Shepherde máte na drátě kapitána Price.",
contingency_load,20,22,"^2Shepherd: ^7Zpět do hry, kapitáne.",
contingency_load,22,24,"^2Kapitán Price: ^7Spíš bych řekl: „Kdo uteče vyhraje“",
contingency_load,24,27,"^2Kapitán Price: ^7Tady je to horší, než to peklo odkud jsem teď přijel.",
