techset,,2d

material,h2_ui_featured_pip_focused
material,h1_ui_featured_pip_unfocused
material,h2_ui_btn_focused_stroke_square
material,h1_prestige_leftright_arrow
material,featured_panel_1
material,featured_panel_2
material,featured_panel_3
material,featured_panel_4
material,featured_panel_5
material,featured_panel_6
material,featured_panel_7
material,featured_panel_8
material,featured_panel_thumbnail_1
material,featured_panel_thumbnail_2
material,featured_panel_thumbnail_3
material,featured_panel_thumbnail_4
material,featured_panel_thumbnail_5
material,featured_panel_thumbnail_6
material,featured_panel_thumbnail_7
material,featured_panel_thumbnail_8
material,motd_image

material,depot_button_rarity_corner_common
material,depot_button_rarity_corner_epic
material,depot_button_rarity_corner_legendary
material,depot_button_rarity_corner_rare
material,depot_button_rarity_corner_reward
material,depot_button_rarity_glow_common
material,depot_button_rarity_glow_epic
material,depot_button_rarity_glow_legendary
material,depot_button_rarity_glow_rare
material,depot_button_rarity_glow_reward
material,depot_button_rarity_strip_common
material,depot_button_rarity_strip_epic
material,depot_button_rarity_strip_legendary
material,depot_button_rarity_strip_rare
material,depot_button_rarity_strip_reward

material,trophy_border
material,trophy_0
material,trophy_1
material,trophy_2
material,trophy_3
material,trophy_4
material,trophy_5
material,trophy_6
material,trophy_7
material,trophy_8
material,trophy_9
material,trophy_10
material,trophy_11
material,trophy_12
material,trophy_13
material,trophy_14
material,trophy_15
material,trophy_16
material,trophy_17
material,trophy_18
material,trophy_19
material,trophy_20
material,trophy_21
material,trophy_22
material,trophy_23
material,trophy_24
material,trophy_25
material,trophy_26
material,trophy_27
material,trophy_28
material,trophy_29
material,trophy_30
material,trophy_31
material,trophy_32
material,trophy_33
material,trophy_34
material,trophy_35
material,trophy_36
material,trophy_37
material,trophy_38
material,trophy_39
material,trophy_40
material,trophy_41
material,trophy_42
material,trophy_43
material,trophy_44
material,trophy_45
material,trophy_46
material,trophy_47
material,trophy_48
material,trophy_49
material,trophy_50
material,trophy_51
material,trophy_52

material,achievement_bg_0
material,achievement_bg_1
material,achievement_bg_2
material,achievement_bg_3
material,achievement_bg_4
material,achievement_bg_5
material,achievement_bg_6
material,achievement_bg_7
material,achievement_bg_8
material,achievement_bg_9
material,achievement_bg_10
material,achievement_bg_11
material,achievement_bg_12
material,achievement_bg_13
material,achievement_bg_14
material,achievement_bg_15
material,achievement_bg_16
material,achievement_bg_17
material,achievement_bg_18
material,achievement_bg_19
material,achievement_bg_20
material,achievement_bg_21
material,achievement_bg_22
material,achievement_bg_23
material,achievement_bg_24
material,achievement_bg_25
material,achievement_bg_26
material,achievement_bg_27
material,achievement_bg_28
material,achievement_bg_29
material,achievement_bg_30
material,achievement_bg_31
material,achievement_bg_32
material,achievement_bg_33
material,achievement_bg_34
material,achievement_bg_35
material,achievement_bg_36
material,achievement_bg_37
material,achievement_bg_38
material,achievement_bg_39
material,achievement_bg_40
material,achievement_bg_41
material,achievement_bg_42
material,achievement_bg_43
material,achievement_bg_44
material,achievement_bg_45
material,achievement_bg_46
material,achievement_bg_47
material,achievement_bg_48
material,achievement_bg_49
material,achievement_bg_50
material,achievement_bg_51
material,achievement_bg_52

localize,english
sound,ui_achievement_unlocked
